"u_tarefa","u_matricula","u_nome","u_grupo_acionado","u_acao","u_status","u_data_e_hora_inicio","u_data_e_hora_fim","sys_created_on","sys_created_by","u_em_analise_por_historico","sys_tags","sys_updated_on","sys_updated_by","sys_mod_count"
"TSK240800124231","System","wfm_agent","CAMPO FMMT TSL","Anotações de Trabalho","Não Iniciado","26/08/2024 09:38:00","26/08/2024 09:38:00","26/08/2024 09:38:00","wfm_agent","","","26/08/2024 09:38:00","wfm_agent","0"
"TSK240800126316","System","wfm_agent","CAMPO FMMT TSP","Anotações de Trabalho","Não Iniciado","26/08/2024 09:38:11","26/08/2024 09:38:11","26/08/2024 09:38:11","wfm_agent","","","26/08/2024 09:38:11","wfm_agent","0"
"TSK240800111987","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Iniciado","26/08/2024 09:38:12","26/08/2024 09:38:12","26/08/2024 09:38:12","wfm_agent","","","26/08/2024 09:38:12","wfm_agent","0"
"TSK240800124880","System","wfm_agent","CAMPO FMMT TNE 2","Anotações de Trabalho","Iniciado","26/08/2024 09:38:14","26/08/2024 09:38:14","26/08/2024 09:38:14","wfm_agent","","","26/08/2024 09:38:14","wfm_agent","0"
"TSK240800125439","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 09:38:15","26/08/2024 09:38:15","26/08/2024 09:38:15","wfm_agent","","","26/08/2024 09:38:15","wfm_agent","0"
"TSK240800116630","System","wfm_agent","CAMPO FMMT TSL","Alteração de Status","Iniciado","26/08/2024 09:02:46","26/08/2024 09:38:15","26/08/2024 09:02:46","wfm_agent","","","26/08/2024 09:38:15","system","1"
"TSK240800125637","System","wfm_agent","CAMPO FMMT TMG","Anotações de Trabalho","Não Iniciado","26/08/2024 09:38:17","26/08/2024 09:38:17","26/08/2024 09:38:17","wfm_agent","","","26/08/2024 09:38:17","wfm_agent","0"
"TSK240800125438","System","wfm_agent","CAMPO FMMT TNE 2","Anotações de Trabalho","Iniciado","26/08/2024 09:38:18","26/08/2024 09:38:18","26/08/2024 09:38:18","wfm_agent","","","26/08/2024 09:38:18","wfm_agent","0"
"TSK240800117758","System","wfm_agent","CAMPO FMMT TNE","Anotações de Trabalho","Não Iniciado","26/08/2024 09:38:19","26/08/2024 09:38:19","26/08/2024 09:38:19","wfm_agent","","","26/08/2024 09:38:19","wfm_agent","0"
"TSK240800125909","System","wfm_agent","CAMPO FMMT TCO","Alteração de Status","Iniciado","26/08/2024 09:36:37","26/08/2024 09:38:34","26/08/2024 09:36:37","wfm_agent","","","26/08/2024 09:38:34","system","1"
